Wannacry	73116
CloudStorage	4054
Data\Wiping	1362
Database	3022
IOStress	474
Compression	19544
Video\Encode	26514
Install	2700
Video\Decode	576
OutlookSync	802
P2PDown	4046
WebSurfing	948
