Wannacry	60774
CloudStorage	3314
Data\Wiping	1362
Database	2788
IOStress	474
Compression	16242
Video\Encode	21808
Install	2440
Video\Decode	576
OutlookSync	802
P2PDown	3314
WebSurfing	948
